symbol,exchange,company_name,isin,face_value,status,group,instrument,listing_date,market_lot,paid_up_value,security_code
PRIMSOL,BSE,Prime Solvent Extractions Ltd,NA          ,10.00,Delisted,P ,Equity,,,,519447
SHRSHAK,BSE,Shree Shakti Agro Oils Ltd.,NA          ,10.00,Delisted,Z ,Equity,,,,519449
VADIDAI,BSE,Vadilal Dairy International Ltd.,INE159T01016,10.00,Suspended,P ,Equity,,,,519451
NARBADA,BSE,Narbada Gems and Jewellery Limited,INE540C01021,10.00,Active,X ,Equity,,,,519455
VIRATCRA,BSE,Virat Crane Industries Ltd,INE295C01014,10.00,Active,X ,Equity,,,,519457
CHAKVEG,BSE,Chakan Vegoils Ltd.,NA          ,10.00,Delisted,P ,Equity,,,,519459
IBINFO,BSE,IB Infotech Enterprises Ltd,INE678B01021,10.00,Active,XT,Equity,,,,519463
AVIINDSDM,BSE,AVI Industries Ltd.,NA          ,10.00,Delisted,Z ,Equity,,,,519467
RATVA,BSE,Rattan Vanaspati ltd.,INE330C01019,10.00,Delisted,Z ,Equity,,,,519469
AMBARPIL,BSE,Ambar Protein Industries Limited,INE072V01017,10.00,Active,X ,Equity,,,,519471
TRILLENT,BSE,Trillenium Technologies Ltd.,INE187B01015,10.00,Delisted,X ,Equity,,,,519473
CHORDIA,BSE,Chordia Food Products Ltd,INE975C01011,10.00,Active,X ,Equity,,,,519475
CIANAGRO,BSE,CIAN Agro Industries & Infrastructure Limited,INE052V01019,10.00,Active,T ,Equity,,,,519477
OMEAG,BSE,Omega Ag-Seeds (Punjab) ltd.,INE112B01013,10.00,Active,X ,Equity,,,,519479
MIHIJAM,BSE,Mihijam Vanaspati Ltd.,INE521C01013,10.00,Delisted,X ,Equity,,,,519481
TAIIND,BSE,Tai Industries Ltd.,INE358D01018,10.00,Active,X ,Equity,,,,519483
KOHINOORT,BSE,Kohinoor Techno Engineers Limited,INE237D01014,10.00,Delisted,Z ,Equity,,,,519485
SH.ANJY,BSE,Shri Anjaney Agro Foods Ltd.,NA          ,10.00,Delisted,P ,Equity,,,,519489
OCEAGRO,BSE,Ocean Agro (India) Limited,INE049J01010,10.00,Delisted,X ,Equity,,,,519491
NKIND,BSE,N.K.Industries Ltd.,INE542C01019,10.00,Active,B ,Equity,,,,519494
TRATF,BSE,Trans Techno Foods Ltd.,INE405B01011,10.00,Delisted,Z ,Equity,,,,519496
GLBLFDS,BSE,Global Foods Ltd.,NA          ,10.00,Delisted,Z ,Equity,,,,519498
BKV,BSE,BKV Industries Ltd.,INE356C01022,1.00,Active,X ,Equity,,,,519500
MAHINDL,BSE,Mahadev Industries Ltd.,NA          ,10.00,Delisted,Z ,Equity,,,,519504
NCCBLUE,BSE,NCC Bluewater Products Ltd.,INE630N01019,10.00,Active,P ,Equity,,,,519506
GENUINC,BSE,Genuine Commodities Development Co.,NA          ,10.00,Delisted,P ,Equity,,,,519508
ANMOLDY,BSE,Anmol Dairy Ltd.,NA          ,10.00,Delisted,Z ,Equity,,,,519510
DRMSY,BSE,Dr.M. Soy & General Food Ltd.,INE733B01016,10.00,Delisted,Z ,Equity,,,,519512
RAJSOLV,BSE,Rajesh Solvex Ltd.,INE893E01012,10.00,Delisted,P ,Equity,,,,519514
ROYCMAR,BSE,Royce Marine Products Ltd.,NA          ,10.00,Delisted,Z ,Equity,,,,519518
INTWATR,BSE,International Water Base Ltd.,NA          ,10.00,Delisted,Z ,Equity,,,,519520
SAHASAG,BSE,Sahas Agro Ltd.,NA          ,10.00,Delisted,Z ,Equity,,,,519526
NORBTEAEXP,BSE,Norben Tea & Exports Ltd,INE369C01017,10.00,Active,T ,Equity,,,,519528
ASIANTNE,BSE,Asian Tea & Exports Ltd.,INE822B01017,10.00,Active,X ,Equity,,,,519532
VISAKAQ,BSE,Visakha Aqua Farms Ltd.,NA          ,10.00,Delisted,Z ,Equity,,,,519534
AGRMARI,BSE,Agri Marine Exports Ltd.,NA          ,10.00,Delisted,P ,Equity,,,,519536
INDOFREB,BSE,Indo-French Biotech Enterprises Ltd,INE867B01012,10.00,Delisted,X ,Equity,,,,519538
KANAFOD,BSE,Kanaiya Foods(India) Ltd.,NA          ,10.00,Delisted,Z ,Equity,,,,519540
VRUNDAG,BSE,Vrundavan Agro Industries Ltd.,NA          ,10.00,Delisted,Z ,Equity,,,,519542
KENGI,BSE,Kengold (India) Ltd.,INE680C01025,10.00,Suspended,Z ,Equity,,,,519546
KJINTFD,BSE,K.J.International ltd.,NA          ,10.00,Delisted,P ,Equity,,,,519548
BUBNMAJ,BSE,Bubna Major Biotech Ltd.,NA          ,10.00,Delisted,Z ,Equity,,,,519550
HERITGFOOD,BSE,Heritage Foods Limited,INE978A01027,5.00,Active,A ,Equity,,,,519552
CONFAGR,BSE,Confro Agros Ltd.,NA          ,10.00,Delisted,Z ,Equity,,,,519554
WESTEFD,BSE,Western Foods Ltd.,-,10.00,Delisted,Z ,Equity,,,,519558
NEHAINT,BSE,Neha International Ltd.,INE874D01022,10.00,Delisted,Z ,Equity,,,,519560
PASEAFD,BSE,P.A.Sea Food Exports Ltd.,NA          ,10.00,Delisted,Z ,Equity,,,,519562
ORIEVEG,BSE,Orient Vegetexpo Ltd.,NA          ,10.00,Delisted,Z ,Equity,,,,519564
SIMRAN,BSE,Simran Farms Ltd.,INE354D01017,10.00,Active,X ,Equity,,,,519566
LAKSHMIO,BSE,Lakshmi Overseas Industries Ltd.,INE992B01026,2.00,Suspended,Z ,Equity,,,,519570
UNITYAG,BSE,Unity Agrotech Industries Ltd.,NA          ,10.00,Delisted,Z ,Equity,,,,519572
HINDUST,BSE,Hindustan Agrigenetics Ltd.,INE092301014,10.00,Active,X ,Equity,,,,519574
INDODFD,BSE,Indo-Dutch Proteins Limited,NA          ,10.00,Delisted,Z ,Equity,,,,519576
JAGDAMD,BSE,Jagdamba Foods Ltd.,NA          ,10.00,Delisted,P ,Equity,,,,519578
HANUMAN,BSE,Hanuman Tea Co. Ltd.,INE363C01010,10.00,Delisted,XD,Equity,,,,519580
UNTEDFD-B,BSE,Unified Agro Industries (India) Ltd,NA          ,10.00,Delisted,Z ,Equity,,,,519582
GOLDEFD,BSE,Golden Agro-Tech Industries Ltd.,NA          ,10.00,Delisted,Z ,Equity,,,,519584
SMILAX,BSE,Smilax Industries Limited,INE393M01016,10.00,Delisted,XT,Equity,,,,519586
DFM,BSE,DFM Foods Ltd.,INE456C01020,2.00,Delisted,B ,Equity,,,,519588
CCL,BSE,CCL Products (India) Ltd.,INE421D01022,2.00,Active,A ,Equity,,,,519600
KELLTONTEC,BSE,Kellton Tech Solutions Ltd.,INE164B01030,1.00,Active,B ,Equity,,,,519602
